,user id,question id,statement index,orden,manipulada,deteccion,distancia,variacion agreement,agreement inicial,variacion confianza,confianza inicial,timer
100402,5743,21,100391.0,4.0,0.0,0.0,11.0,-39.0,100.0,-37.0,100.0,21060.0
100438,5744,15,100436.0,1.0,0.0,0.0,2.0,0.0,90.0,8.0,92.0,28920.0
100439,5744,41,100435.0,2.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,108319.0
100440,5744,21,100431.0,3.0,0.0,0.0,9.0,0.0,100.0,-23.0,100.0,93585.0
100441,5744,39,100433.0,4.0,1.0,0.0,8.0,100.0,0.0,2.0,98.0,16958.0
100477,5746,23,100471.0,1.0,0.0,0.0,6.0,0.0,78.0,10.0,62.0,32441.0
100478,5746,16,100474.0,2.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,11361.0
100479,5746,39,100476.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,100.0,24129.0
100480,5746,21,100470.0,4.0,0.0,0.0,10.0,0.0,100.0,0.0,100.0,13084.0
100516,5747,40,100509.0,1.0,0.0,0.0,7.0,0.0,48.0,42.0,46.0,263086.0
100517,5747,21,100508.0,2.0,0.0,0.0,9.0,0.0,100.0,-1.0,100.0,410627.0
100518,5747,16,100510.0,3.0,0.0,0.0,8.0,0.0,100.0,-33.0,99.0,190020.0
100519,5747,17,100514.0,4.0,1.0,1.0,5.0,11.0,14.0,8.0,84.0,54770.0
100555,5748,17,100551.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,100.0,14924.0
100556,5748,41,100548.0,2.0,0.0,0.0,8.0,0.0,100.0,0.0,100.0,13969.0
100557,5748,20,100553.0,3.0,0.0,0.0,4.0,0.0,100.0,0.0,100.0,13326.0
100558,5748,16,100549.0,4.0,1.0,0.0,9.0,-40.0,70.0,-21.0,77.0,18938.0
100594,5750,20,100592.0,1.0,0.0,0.0,2.0,0.0,96.0,4.0,96.0,30439.0
100595,5750,15,100588.0,2.0,1.0,1.0,7.0,-9.0,16.0,21.0,76.0,45327.0
100596,5750,23,100587.0,3.0,0.0,0.0,9.0,10.0,84.0,18.0,80.0,33660.0
100597,5750,41,100589.0,4.0,1.0,1.0,8.0,0.0,93.0,18.0,73.0,25584.0
100633,5751,41,100631.0,1.0,0.0,0.0,2.0,0.0,22.0,-15.0,54.0,21877.0
100634,5751,23,100627.0,2.0,1.0,1.0,7.0,-8.0,17.0,-22.0,87.0,20327.0
100635,5751,16,100625.0,3.0,0.0,0.0,10.0,0.0,90.0,15.0,57.0,13936.0
100636,5751,15,100630.0,4.0,1.0,0.0,6.0,-38.0,62.0,22.0,34.0,14059.0
100672,5757,18,100666.0,1.0,0.0,0.0,6.0,0.0,14.0,-9.0,64.0,35820.0
100673,5757,20,100669.0,2.0,0.0,0.0,4.0,0.0,100.0,12.0,88.0,18943.0
100674,5757,23,100665.0,3.0,0.0,0.0,9.0,0.0,0.0,-19.0,100.0,11586.0
100675,5757,21,100671.0,4.0,0.0,0.0,4.0,0.0,57.0,17.0,51.0,9088.0
100711,5762,21,100705.0,1.0,0.0,0.0,6.0,0.0,100.0,0.0,100.0,22722.0
